Chinese,English
麥,wheat
好消息,good news
能給,Be able to
憑,Rely on
度,Spend
騙子,fraud
互相,each other
嫁給,Marry
吉姆,Jim
je,je
竧,Bleak
提到,Mention
fnyouyuan,fnyouyuan
不定,indefinite
打個,Be
痛,pain
這都,All of this
搂,hug
樹,Tree
政治,politics
天使,Angel
弟,younger brother
钮帝,Niu Di
講話,Speaking
輸,lose
何不,Not
保險,Insurance
猔,Bleak
顯示,show
同,same
規則,rule
管理,manage
而言,For
didn,DIDN
丟了,lost
三年,Three years
我無法,I can not
訴過,Complaint
經驗,experience
铬,chromium
協議,protocol
戰鬥,fighting
什麼樣,What
唱歌,Sing
没,No
卡爾,Car
普通,ordinary
sb,SB
第三,third
que,QUE
能量,energy
至,to
love,love
線索,clue
白人,White
這會,this will
興趣,interest
發射,emission
你们,you
格,grid
道理,reason
一輛,One
噁,evil
傳,pass
刮,shave
重點,Focus on
四個,Four
手指,finger
船上,On the ship
耍,Play
好不好,OK
醒醒,Wake up
如今,now
贏得,win
十年,ten years
太多,too much
還得,Still
洗,wash
撐,support
h,H
假裝,pretend
陳,List
試著,Try
幹得,Work hard
試圖,attempt
時光,Time
距離,distance
never,never
た,Bleak
冒險,adventure
歌,Song
墓,tomb
天吶,Hey
心臟,heart
之類,such as
戀,love
代價,cost
计,count
竜,Bleak
綼,Bleak
乾杯,cheers
這張,This
make,make
查,check
ゞ,Bleak
有所,Some
同志,Gay
翅,wing
瞧瞧,Look at
珇,Bleak
寄,send
何,what
不來,Not coming
絏,Bleak
ミ,Bleak
再給,Give
滿,Full
了不起,amazing
兩次,twice
天氣,weather
等到,wait until
跌,fall
餐廳,Dining room
可愛的,Lovely
意見,Opinion
旅館,hostel
早餐,breakfast
關閉,closure
想過,Think about
我為,I am
接到,Receive
神秘,mystery
周圍,around
碰到,bump into
離婚,divorce
廁所,bathroom
獀,autumn hunting
癠,Bleak
娶,Marry
整天,All day
移動,move
比較,Compare
驚喜,surprise
拜拜,Bye-Bye
拉斯,Las
去年,last year
烦,bother
闽玒,Fujian 玒
不怕,Not afraid
去過,Go
主,host
発,Bleak
規矩,rule
这样,so
發展,develop
太空,Space
fndfkaisho,FNDFKAISHO
但現,But now
爵士,Jazz
锣,gong
西,West
幢,Building
冷靜點,calm down
后面,Behind
元,Yuan
兩位,Two
滾開,Go away
瘆,Bleak
only,only
趴下,Lying down
火,fire
部隊,force
脫,Take off
逃,escape
做事,work
檔,files
盡快,ASAP
茶,Tea
籖,Bleak
修,build
甮,Bleak
報紙,newspaper
圖,picture
分享,share
一人,one person
很難,Difficult
破,break
環境,surroundings
果然,really
他人,others
や,Bleak
同事,colleague
癶,Bleak
ю,bleak
明明,Clearly
勝利,victory
瑈,Bleak
想象,Imagine
戒指,ring
λ,λ
站住,stop
不許,Not allowed
他來,he comes
交流,comminicate
頓,pause
分手,separate
空間,space
前往,Go
車子,Car
大部分,most
畉,Bleak
權力,that power
淮,Huai
嘗試,try
α,α
談話,conversation
せ,Bleak
無所謂,Indifferent
終于,finally
海,ocean
外,outside
美國人,American
箉,Bleak
猳,Bleak
感興趣,interested
這有,Here is
樂,happy
カ,Bleak
最高,Highest
too,TOO
life,life
篊,Bleak
一片,one slice
信仰,Belief
朝,towards
话,talk
申請,Application
秸,Straw
贰,two
特殊,special
專家,expert
σ,σ
肚子,abdomen
然而,However
病毒,Virus
下車,get off
有過,Had
过,Pass
后期,Later
廚房,kitchen
多麼,how
over,over
硑,Bleak
置信,Confidence
英里,mile
这里,here
な,な prnaries
做些,Do more
墨西哥,Mexico
捣,Pound
美女,Beauty
總有,always
引起,cause
即,which is
礹,Bleak
邀,invite
一百,one hundred
要死,To death
放手,Let go
稍,a little
罪犯,criminal
摧毀,destroy
北,north
讚,awesome
着,Be
ψ,bleak
懲罰,punish
會議,Meeting
建立,Establish
皘,Bleak
加上,Add
氮,nitrogen
耶穌,Jesus
受不了,Unbearable
確保,make sure
死定了,Dead
れ,Bleak
窗戶,window
內心,heart
思議,Thinking
困難,difficulty
五分,Five points
送給,Give
無聊,boring
呼叫,call
顏色,color
妳是,You are
意大利,Italy
小鬼,Ghost
尼斯,Nice
興奮,excited
一堆,pile
扯,pull
明星,star
夜晚,night
神奇,magic
專業,specialized
帶著,Carry
共同,common
密碼,password
刺激,Stimulate
教練,coach
伊,Irald
變化,Variety
罺,Bleak
表情,expression
公園,garden
猶太人,Jewish
無辜,innocent
給我們,Give us
聖,Holy
繺,Bleak
簈,Bleak
假如,if
義,righteous
快去,Go
家里,Family
喝點,Drink
受害者,victim
成員,member
五,five
禁止,prohibit
警探,Warning
過程,process
不肯,Not willing
徹底,thorough
俱樂部,club
チ,Bleak
的頭,s head
山姆,Sam
團隊,team
挑戰,challenge
黨,party
炒,saute
午餐,Lunch
瑀,Bleak
pas,Pas
上尉,Captain
妳在,You're
意義,significance
我爸,My Father
老鼠,mouse
桌子,table
燈,lamp
願,willing
精彩,Wonderful
簘,Bleak
吸引,absorb
揍,beat
蕾,bud
集中,concentrated
區,Area
所謂,So -called
n,N
閉上,Close
魔鬼,devil
分開,separate
紅色,red
打敗,defeat
有空,available
褲子,Pants
鬧,Make trouble
妮,Niger
空氣,Air
何時,when
腦子,Brain
報導,Report
石頭,Stone
威廉,William
德國,Germany
眶,Orbish
我本來,I originally
м,bleak
妓女,prostitute
依然,still
連,even
一口,Take a bite
聊,chat
榮幸,pleasure
罵,scold
折磨,Torture
動手,Handle
方便,convenient
弗,Ecstasy
實驗室,laboratory
兩天,Two days
進展,progress
个,indivual
故意,deliberately
一周,A week
剩,Leftover
阶,Grade
暴力,Violence
商業,Business
穿過,Pass through
参,Ginseng
中間,middle
救救,Rescue
特工,Agent
科學,science
左右,about
好奇,curious
roman,roman
e,E
脖子,neck
臸,Bleak
萬一,just in case
拋棄,abandon
一支,One
哼,Humph
參,Ginseng
看法,view
藝術,Art
這段,This paragraph
娥,Worship
看出,see
耞,flail
听,listen
擋,block
收,receive
祘,Bleak
into,into
某些,some
虏,prisoner
來源,source
兩年,Two years
在意,care
巧克力,chocolate
because,beCAUSE
off,OFF
留言,message
am,AM
弘,Glowing
行李,luggage
估計,estimate
都行,Be able to
完畢,complete
既,now that
太久,Too long
驚訝,surprise
西班牙,Spain
實現,accomplish
little,Little
狹,narrow
指揮,command
程序,program
芥,mustard
用力,Force
地圖,map
盡量,As much as possible
煩,bother
老人,elder
纒,Bleak
勇氣,courage
分析,analyze
全是,all
試過,Trial
關,close
耳朵,ear
騎,ride
運氣,luck
出口,Export
一部,One
纯,pure
扒,Pick up
受夠,Enough
戰士,warrior
风,wind
people,people
y,Y
吐,threw up
緗,Bleak
看吧,Look at
滿意,satisfy
忍受,Bear
三天,Three days
じ,Bleak
我永遠,I forever
sorry,sorry
洛杉磯,Los Angeles
談過,Talked about
小伙子,Guy
然後我,Then I
歐洲,Europe
炊,Cooking
露西,Luci
心中,Heart
甧,Bleak
箱子,box
大約,About
ь,bleak
ホ,Bleak
清理,Clean up
游泳,swim
罪,crime
局,Bureau
贏了,Won
粂,Bleak
警局,Police station
做點,Do some
我告,I am sued
fntimes,fntimes
實驗,experiment
您好,Hello
聊聊,Talk
變態,abnormal
藥,medicine
李,plum
傳統,Tradition
奇跡,Miracle
我用,I use
ゝ,Bleak
檔案,file
一顆,One
做個,Make a
艾,Aegish
世紀,century
天空,Sky
mean,mean
晚飯,dinner
投票,vote
這話,This
窱,Bleak
我親,My dear
展示,exhibit
鼻子,nose
these,These
ㄨ,ㄨ
砃,Bleak
立即,immediately
劍,sword
降落,landing
六,six
廢話,nonsense
全,Complete
烩,braise
語,language
情人,lover
一本,One
unicode,unicode
fnarial,fnarial
規定,Regulation
爱,Love
車上,On the car
吸血鬼,vampire
惩,Punish
清醒,wide awake
即將,Will
數字,number
上學,go to school
撿,Pick up
一點點,A little bit
低,Low
就給,Give
their,their
地區,area
than,THAN
光,Light
子彈,bullet
并且,and
絤,Bleak
踌,hesitate
艾迪,Eddie
夏天,summer
一面,one side
煙,cigarette
悲傷,sad
他給,He gave
磅,lb
優秀,excellent
生病,Get ill
阿姨,Aunt
邪,evil
tu,TU
鄉,Township
uh,UH
痴,Be infatuated
塔克,Tucker
街上,On the street
邀請,invite
礶,Bleak
數據,data
砫,Bleak
談論,talk
真心,sincere
擺,put
六個,Six
find,find
大使,ambassador
內容,content
絲,Silk
還說,Also say
巨人,giant
打過,Play
大量,Large amount
型,type
還不錯,not bad
一間,one
不吃,Not eat
媒體,media
王八蛋,Son of a bitch
打來,Fight
來過,came
程度,degree
滿足,Satisfy
卡特,Carter
教會,church
引擎,engine
反對,be opposed to
should,should
day,day
免費,free
鄰居,Neighbor
鞋子,shoe
放到,Put
回憶,Memories
憤怒,anger
進攻,attack
小女孩,little girl
龍,dragon
傷心,sad
原本,original
交往,Exchanges
艶,Bleak
總會,Always
印象,impression
的車,Car
睹,see
刺,prick
克拉克,Clark
很長,very long
矫,Correction
羪,Bleak
沒見,Not see
嬰兒,baby
very,very
嚎,howl
刚,Just
even,Even
殺害,kill
屋子,room
乖乖,Obedient
案件,case
快要,Be about to
放松,Relax
理論,theory
擅長,Be good at
艾倫,Allen
不住,Unbearable
此事,This matter
按照,according to
竡,Bleak
比爾,Bill
海洋,ocean
メ,Bleak
害死,Kill
肚,tripe
诧,surprised
飛行,flight
k,K
將來,future
共和,Republic
半,Half
猌,Bleak
學會,learn
掌握,master
損失,loss
位,Position
癚,Bleak
全力,Fully
不止,more than
的確,indeed
面對,face
聖誕,Christmas
便宜,Cheap
蛇,snake
華盛頓,Washington
掃,sweep
年代,Era
東,East
舞會,prom
玩具,Toy
老板,boss
我並,Me
打死,Kill
打架,fight
斷,Break
沧,Rigidity
ヰ,Bleak
億,100 million
會給,Give
不太好,not too good
作家,writer
跋,Post
設備,equipment
浪漫,romantic
威爾,Prestigious
真棒,Awesome
不得,Be unable to
璚,Bleak
洞,Hole
奴隸,slave
某人,Someone
幾年,several years
接觸,touch
練習,practise
狗屎,Shit
熟悉,familiar
竚,Stand
fnstzhongsong,fnstzhongsong
儀式,ceremony
sir,sir
准備,Prepare
醬,Sauce
一套,set
罙,Bleak
男子,man
叉,cross
拖,drag
手段,means
煮,cook
said,SAID
起床,get up
瞦,Bleak
納,Accept
牆,wall
輪,wheel
克里斯,Chris
芠,Bleak
點兒,Point
態度,manner
nothing,nothing
簎,Bleak
黑色,black
情緒,mood
強大,powerful
性,sex
哎呀,oops
幫幫,Gang
發出,issue
help,help
約會,Dating
相處,get along
遏,stop
two,TWO
ブ,Bleak
购,purchase
順便,By the way
裡的,inner
早點,Early
請進,Invite
畢竟,after all
當他,when he
觀眾,audience
身,body
作用,effect
隊伍,Team
臮,Bleak
五年,Five years
單,one
這座,This
失陪,Disappear
事業,cause
細節,detail
取得,Obtain
教育,educate
盋,Bleak
丟下,Leave
司機,driver
城堡,castle
冒,Take up
years,Years
信心,confidence
出事,Cause
ボ,Bleak
指揮官,commander
舦,Bleak
夹,folder
左,left
走路,walk
牛,Cattle
骸,skeleton
樂隊,band
打破,break in
承諾,promise
に,Bleak
め,Bleak
結,Knot
證人,witness
來點,Point
相同,same
歐,Europe
щ,bleak
安迪,Andy
認真,serious
辰,Dazzling
之外,Outside
give,give
搜索,search
藍色,blue
投降,surrender
玥,Sanctuary
辅,auxiliary
聊天,to chat with
不久,soon
大事,event
有效,efficient
審判,Trial
很少,rare
god,God
去死吧,go to hell
事故,ACCIDENT
這輩子,this life
廣告,advertise
計畫,plan
激動,Excited
人會,Meeting
ì,ì
能否,Can
竲,Bleak
開火,Fire
媚,Charming
大腦,brain
混亂,confusion
鐵,iron
聚會,reunion
伙計們,guys
不給,Not given
first,FIRST
称,say
不会,Won't
踩,Step on
甫,just
指控,Accusation
人人,Everyone
腇,Bleak
埋,Bury
恕,Forgive
山,Mountain
室,room
詛咒,curse
蒂,Heaven
膀,bladder
蘭,orchid
這人,This person
毀滅,destroy
絕不會,Never
師,division
縒,Bleak
尼,Niger
事物,thing
喝醉,Drunk
推,push
女孩子,Girl
佰,Beyond
莉,Wicked
戈,Scoist
禮拜,worship
琜,Bleak
傷口,Wound
呼,call
走出,Go out
弧杠,Arc
斑,spot
增加,Increase
這東西,This thing
香港,Hongkong
我兒子,my son
any,any
完蛋,Finish
貼,paste
away,away
感染,Infect
洗澡,bath
也好,Good
一聲,One sound
我媽媽,My mother
市場,market
留著,Keep
退出,quit
網絡,network
搜查,search
中央,central
陌生人,stranger
下一個,Next
fnfzhei,fnfzhei
出門,Go out
熊,Bear
瑞克,Rick
为什么,why
沒時間,No time to
狼,Wolf
一路,One way
瓜,melon
で,Bleak
doing,doing
退休,retire
一團,Cluster
謊言,lie
布朗,Brown
被捕,Arrest
法官大人,Your Honor
慌,Panic
男生,Boy
please,Please
法,Law
師父,Master
イ,
穩定,Stablize
喊,call
胔,Bleak
已经,already
一座,One by one
谁,Who
vous,vous
不僅,not only
合法,legitimate
喜,happiness
大師,Grandmaster
芝加哥,Chicago
提起,Lift
那晚,That night
大樓,Building
真不錯,really not bad
微笑,Smile
ケ,Bleak
小孩子,child
農場,farm
承受,bear
國際,internationality
活下去,Survive
布萊恩,Blaine
外套,coat
much,much
支援,support
still,still
湯米,Tidal
before,before
珃,Bleak
家裡,Family
諾,promise
渴望,eager
un,UN
萬歲,Long live
王,king
挖,dig
敖,Villain
孤獨,Lonely
滇,Yunnan
姐妹,sisters
产,Produce
左邊,left
慶祝,celebrate
女友,Girlfriend
賽,Race
瑍,Bleak
稍微,a little
砸,Smash
从,from
正如,Just like
反抗,Resist
抱怨,complain
萊,Landslide
光臨,Visit
形成,form
椅子,Chair
皇后,Queen
明,Bright
付,pay
这是,This is
正要,Take the right
le,LE
兩人,Two
直升,Rise
一根,One
沒人會,No one will
籐,rattan
卡拉,Kara
不信,Do not believe
卡車,truck
做什麼,doing what
不論,whether
今,this
持續,continued
john,john
波特,Potter
文化,culture
甉,Bleak
名單,List
會有,There
墻,wall
sans,sans
聽見,hear
誤會,Misunderstand
混,mix
單身,single
還真,Really
我過,I
懂得,know
工程,project
白色,White
传,pass
留給,Leave
騎士,knight
尊敬,Respect
一刻,A moment
耙,rake
保安,security guard
в,bleak
愛你,Love you
幻想,fantasy
總部,Headquarters
thing,thing
巨,huge
鮑勃,Bob
沙漠,desert
堅強,strong
舉起,lift
單獨,alone
額,Forehead
凱特,Kate
情感,emotion
є,bleak
fbi,FBI
只不過,only
基本,Basic
砞,Bleak
屁,fart
地下,underground
這還,This
時機,opportunity
英語,English
這樣子,in this way
吃點,Eat
咯,Be
荐,recommend
修好,Repair
栏,column
好運,good luck
中尉,Lieutenant
報道,Report
拿下,Win down
經濟,economy
珍妮,Jenny
州,State
思想,Thought
克拉,carat
琘,Bleak
world,worldd
遠離,keep away
伐,Cut off
凈,net
砯,Bleak
因为,because
避免,avoid
耐心,patience
獨自,alone
真高興,so happy
非洲,Africa
神經,nerve
迷人,charming
剪,Cut
幾次,several times
瞏,lonely
性命,life
教訓,lesson
知不知道,do you know
門,Door
血液,blood
從現,From now on
泰勒,Taylor
保重,Take care of yourself
thank,that
著名,Famous
流血,bleed
國,country
委員會,Committee
烤,bake
眼鏡,Glasses
片名,Title
別開,Don't open
巴,-bar
每年,Per year
陷入,Fall into
觀察,Observed
鞋,shoe
other,Other
ど,Bleak
口袋,pocket
那會,Then
許會,Promise
擺脫,get rid of
關掉,Turn off
語言,language
指望,Hope
英尺,foot
區域,area
last,last
抖,shake
屎,shit
卡斯,Kas
重大,major
帝國,empire
當地,local
裙子,skirt
浪,wave
禜,Bleak
最新,up to date
洗手,handwashing
掩護,cover
沮,Be frustrated
出色,outstanding
最佳,optimal
真想,Really want
關注,focus on
ё,bleak
學家,Scholar
當我們,when we
假設,Assume
佬,guy
年紀,age
嚇到,Scare
確,Be sure
吵架,quarrel
或常,Maybe
整理,tidy
現金,cash
犯人,Prisoner
並沒有,not at all
賤,cheap
仇,hatred
邁克爾,Michael
尖叫,Scream
棒球,baseball
乾,Dry
給了,Give
雜,miscellaneous
一大,One big
亞歷,Alex
こ,Bleak
這下,Now
小組,group
效果,Effect
米奇,Mickey
美妙,wonderful
寬,width
瞎,blind
ざ,Bleak
か,Bleak
沒能,could not
凱文,Kaiwen
乖,good
笿,Bleak
過了,pass
keep,keep
偷走,Steal
關門,close the door
提議,proposal
所在,Where
法蘭克,Frank
癵,Bleak
臩,Bleak
用來,Use
不成,Not
撤退,retreat
工廠,factory
加州,California
隨著,along with
遠點,Further
漢,Chinese
服,Clothes
不喜歡,do not like
矮,short
貝,cowry
が,Bleak
挑,pick
問,ask
這讓,This allows
職責,Duty
多次,repeatedly
笴,Bleak
欺騙,cheat
公里,kilometer
琎,Bleak
指示,instruct
縀,Bleak
醫療,Medical treatment
考試,take an exam
這間,This room
甅,Bleak
宗教,religion
象,elephant
嫉妒,envy
眼前,In front of
哈里,Harry
那个,that
斯汀,Stein
尸體,Corpse
女子,woman
爹,father
少校,Junior college
long,long
真好,very nice
男友,Boyfriend
轉過,Turn
捨,Abandon
哈維,Harvean
玻璃,Glass
功夫,effort
工具,tool
簽名,sign
捲,roll
模特,model
塔,tower
坦白,frank
db,DB
並非,Not
print,print
褐,brown
娜,Unnamed
戰場,battlefield
砏,Bleak
奪,Seize
遲,Late
手臂,arm
home,home
放過,Let go
二十,twenty
畒,Bleak
天下,World
主教,bishop
眼神,Eyes
睦,Be in harmony
摩托,Motorcycle
打扮,dress up
璉,Nipple
條,strip
出租,rent
產生,produce
大街,Street
常常,Frequent
那次,That time
需,need
全球,worldwide
算了吧,forget it
起訴,Prosecution
下班,get off work
死者,deceased
菌,bacteria
裝置,Device
當初,At first
艦長,captain
這句,This sentence
糖,sugar
大海,Sea
抽煙,smokes
加斯,Gas
幾點,What time is it?
劫,Calamity
這太,This is too
畫,painting
我心,my heart
晾,air
擦,wipe
揩,wipe
很不錯,not bad
手中,In the hand
again,Again
哪來,Where to
一切都是,Everything
說法,statement
刁,carry
還不夠,not enough
硬,hard
有罪,guilty
fnsegoe,fnsegoe
項目,project
wait,waiit
路易,Louis
公開,public
旅,trip
經理,manager
得出,inferred
我本,My own
週末,weekend
put,put
描述,describe
幸會,Fortunately
旧,old
更糟,Worse
早晨,morning
非法,illegal
要么,Either
美金,US dollars
導致,lead to
我會給,I will give it to
的關,Level
打擊,Strike
多么,how
行星,planet
五個,Five
回家吧,go home
我絕,I am
兔子,rabbit
投資,invest
魁,Puzzle
泡,Bubble
作戰,Fight
當成,Treat
ㄣ,ㄣ ˉ
蝙蝠,bat
緄,sew
告诉,Tell
牛奶,milk
議員,Parliament
這兩個,These two
要麼,Either
不及,Be less than
發動,launch
小丑,clown
莎,Worship
那時候,At that time
回報,Return
к,bleak
角度,angle
地面,ground
乾淨,clean
オ,Bleak
慢點,Slower
會來,will come
不像,Not like
熱情,enthusiasm
届,Session
媽咪,Mum
商量,discuss
gbk,GBK
佔,Take up
箇,Bleak
星星,Star
你老,You are old
說些,A little
sure,subure
救護車,ambulance
危機,crisis
分子,molecular
炸,fry
銀,silver
这么,so
榮譽,honor
獨立,independent
牧師,Priest
袋子,bag
你永遠,You forever
皮,Skin
廳,hall
纔,talent
明顯,obvious
事兒,thing
它會,it will
拦,bar
這只,This
導演,director
害,Harmful
下個,next
翻,turn
一趟,One trip
慾,want
dna,DNA
妳有,You have
婚,marriage
內部,internal
毛病,Fault
科學家,the scientist
甩,Shake
郵件,mail
抄,copy
集團,group
硉,Bleak
別想,Don't think about
太過,Too much
night,night
射,shoot
遭到,Suffer
平常,usually
部落,tribe
期望,expect
x,X
饒,Spare
看好,Be optimistic
時期,period
第二次,the second time
舞,dance
those,this
最棒,Best
合適,Suitable
隊員,Player
羭,black ram
莫,Not
望,see
釋放,freed
地下室,basement
爸媽,Parents
fncomic,fncomic
菇,mushroom
美味,tasty
璝,Bleak
應付,Handle
殺人,kill
ň,bleak
說服,persuade
隱藏,hide
局長,Director
脄,Bleak
尷尬,Awkward
衛星,satellite
直,straight
格斯,Geus
跟上,Keep up
部門,department
好孩子,Good boy
竤,Bleak
every,every
消滅,wipe out
工人,Worker
整晚,All night
主演,Starring
愛人,spouse
成熟,Mature
牛仔,cowboy
情,Affection
し,し し
舱,cabin
發明,invention
風險,risk
這片,this piece
坦,Frank
全國,Nationwide
收集,collect
十二,twelve
时候,when
視頻,video
壹,one
房,house
勸,advise
陈沸,Boil
舉行,Hold
右,right
gb,GB
交換,exchange
琿,Bleak
駕駛,drive
協助,assist
古老,ancient
稼,Crop
ever,event
撤,withdraw
當心,Be careful
謝天,Gratitude
馋,greedy
開口,Open
遵守,obey
盒子,Box
各,each
窩,nest
謝地,Gratitude
fnfzzhengheis,fnfzzhengheis
不去,Not go
今日,today
盡管,although
絚,Bleak
藍,blue
敵,enemy
莉莉,Lily
酷,cool
peter,peter
七,seven
隱瞞,hide
籇,Bleak
欣賞,appreciate
stop,stop
相,Mutually
埃及,Egypt
三明治,sandwich
名叫,Name
艱難,difficult
賊,thief
威士忌,whisky
史蒂夫,Steve
璽,Seal
不明,unknown
話題,topic
must,must
外星人,alien
粿,Cricket
標準,standard
保密,Confidential
work,work
哈哈,Ha ha
招呼,call
演奏,Play
然後他,Then
確是,indeed
丹,Pour
咪,mum
鑒,Learn from
遇見,meet
一頓,One
或種,Species
適應,adapt
定,Certainly
結局,ending
雙手,Hands
明早,Tomorrow morning
保留,reserve
月亮,moon
四年,Four years
迷路,get lost
雜誌,Magazine
打斷,interrupt
兒童,child
杯,cup
道德,Morality
maybe,Maybe
为,for
制服,uniform
陷阱,trap
一整天,A whole day
別鬧,Don't make trouble
喬伊,Joey
年齡,age
奇,strange
不著,Not
許他,Make him
養,keep
瞅,look
新娘,bride
簿,book
總監,Chief
皮膚,skin
新鮮,Fresh
波士,Bost
片,piece
anything,Anything
閑,idle
く,Bleak
老朋友,Old friend
經死,Go through death
轉移,Transfer
有種,Have a species
很酷,Cool
艾米,Amy
追求,Pursue
偵探,detective
座位,seat
平安,Safety
畐,Bleak
道路,the way
辭職,Resign
改,change
她現,She
through,through
柏林,Berlin
同伴,companion
相關,Related
下手,Start
自行,On my own
獸,beast
told,told
薇,Wicked
ヾ,Bleak
mike,Mike
叛徒,traitor
如同,as
簙,Blog
間諜,spy
栋,Build
鬍,Hu
支票,Cheque
理想,ideal
不一樣,Different
入侵,Invade
心裡,Heart
面具,mask
蠢貨,idiot
短信,Short message
成長,growing up
天賦,talent
表明,show
陽光,Sunlight
狗屁,Shit
恐怖分子,terrorist
坐牢,Jail
看得出,Be able to see
種族,Race
摩斯,Mosaic
然後呢,and then
封信,Letter
f,F
路易斯,Louis
一千,one thousand
太晚,Too late
亞當,Adequid
擠,squeeze
提前,in advance
之下,under
everything,Everything
爭取,Strive for
看不出,Unrecognizable
上來,Come up
after,after
建造,put up
本人,Myself
敬,Respectfully
回應,Respond
履,shoe
抓緊,pay close attention
別緊,Don't tight
南方,south
利益,Benefit
智慧,wisdom
魅力,charm
消防,Firefighting
thought,thinkGHT
祝福,bless
肯,Be willing
保佑,bless
絕地,Jedi
这些,These
一項,One item
全身,whole body
星系,galaxy
成績,score
天生,Born
東京,Tokyo
黑鬼,nigger
笨,stupid
斌,Bunny
待會,Later
右邊,right
並不,Not
講,speak
蘋果,apple
眼看,Look at
癌,cancer
繻,Bleak
籜,Bleak
兜,pocket
賣給,Sell ​​to
地板,floor
talk,talk
戴夫,Diff
还有,and also
è,è
高度,high
剛好,just
佩,wear
利,profit
沒辦法,no way
纞,Bleak
call,call
沒來,not coming
基督,Christ
放進,Put in
下雨,rain
那就好,That's good
試,try
查出,find out
護士,Nurse
name,name
猴子,monkey
骋,Galloping
things,thinks
大聲,Loud
打仗,fight
今早,This morning
影片,Film
菲利普,Phillip
那條,That
戒,Abstinence
屋頂,roof
遵命,Abide by
維持,maintain
軍事,military
繩子,rope
海灘,beach
吃掉,Eat
喜欢,like
baby,baby
邻,adjacent
當中,among
逃避,escape
海岸,coastal
財產,property
玭,Bleak
place,play
疾病,disease
一架,One by one
千萬別,Not to
當作,As
p,P
帮,help
然後我們,then we
甶,Bleak
俄國,Russia
助理,assistant
想不到,Unexpectedly
ben,Ben
擁抱,Embrace
成就,Achievement
過的,Excessive
科技,Technology
圈,lock up
我建議,I recommend
調,Tune
中士,Chinese scholar
快速,fast
礟,Bleak
阿門,Amen
帽,cap
插,Insert
托尼,Tony
祅,Bleak
深,deep
會長,President
植物,plant
我答,I answer
空中,Air
致命,fatal
玻,glass
made,made
扮演,Play
微软,Microsoft
經有,Have
角落,corner
檢察官,Prosecutor
绊,trip
fuck,fuck
柏,Cypress
奧利,Aoili
文章,article
雅黑,Elegant black
隔壁,next door
領導,lead
注意力,attention
調查局,Survey bureau
我試,I try
解開,Unlock
知,Know
電子,electronic
僅僅,only
園,garden
票,ticket
穿越,Pass through
夜,night
座,seat
臟,dirty
只好,Had to
封鎖,blockade
商店,shop
期間,period
足球,football
西斯,Sissus
走廊,corridor
qu,QU
不動,Do not move
雜種,Hybrid
人質,hostage
喷,spray
演講,speech
坦克,tank
囚犯,prisoner
承,Inherit
which,white
判斷,judge
藝術家,artist
畄,Bleak
芬奇,Vinci
那件事,that matter
查爾斯,Charles
jack,jack
男性,male
冒犯,offend
監控,monitor
飛船,spaceship
飲料,drinks
公路,highway
機構,mechanism
社長,President
done,Done
或暗,Maybe
事要,Matter
老二,Second child
堡,Bastard
比起,Compare
咦,what
縷,thread
場,field
飽,full
好點,Better
修女,nun
愛他,love him
註,Note
至於,To
搞笑,funny
盧,Lu
返回,return
走運,Luck
太大,Too big
解雇,Dismiss
ー,ー
節,Festival
可能性,possibility
數,number
娘,mother
認出,make out
塞,Plug
這的,This
晚點,late
底下,under
寶,precious
穞,Bleak
走過,Pass through
高級,advanced
小小的,Small
薩,Salad
around,around
不準,Be unbounded
走走,Walk around
終於,finally
粇,Bleak
以防,Prevent
費,fee
觀點,View
一眼,At a glance
機密,confidential
沒人能,No one can
要不是,If not
毖,Bleak
要來,To come
贝,cowry
藥物,drug
雲,cloud
上場,Play
嘴巴,mouth
警察局,Police station
进,Enter
少女,Girl
does,does
唱片,record
地盤,Site
mr,Mr
小狗,puppy
集合,gather
玙,Bleak
通話,call
五十,Fifty
人才,Talent
會不會,Will it
親,Dear
取,Pick
預備,preparation
選手,Player
層,Floor
謀殺,murder
之處,Place
镍,nickel
演,play
伊斯,Ises
風格,style
聯盟,alliance
基金,fund
sam,SAM
強烈,strong
g,G
軍人,soldier
本事,ability
平靜,calm
綠色,green
指紋,fingerprint
很樂意,pleasure
錄音,recording
要問,To ask
腨,Bleak
迴,Return
better,better
老頭,Old man
對面,opposite
有何,What
穖,Bleak
主席,Chairman
乘客,passenger
上樓,Go upstairs
大不了,Big deal
落,fall
保姆,nanny
通訊,communication
宣布,Announce
眼,Eye
ґ,bleak
再過,Reappear
解除,Lift
這我,This me
本身,itself
配合,Cooperate
文明,civilization
向前,forward
問過,Asked
拍照,Photograph
民主,democracy
村,village
模式,model
確信,Be confident
earth,earth
布魯斯,Bruce
may,may
默,silent
選舉,election
一瓶,One bottle
網上,Online
続,Bleak
參議員,senator
砋,Bleak
燙,hot
咧,Pod
畫面,Picture
將要,will
符合,meets the
相反,on the contrary
夥伴,partner
always,always
部長,minister
此刻,now
一員,One member
警報,alarm
開除,Dismiss
林肯,Lincoln
dexter,deXter
っ,Bleak
很明顯,It is clear
不安,disturbed
伊莎貝爾,Isabel
en,EN
我當,I am
領袖,leader
帶上,Bring up
冬天,winter
可笑,ridiculous
周末,weekend
女巫,Witch
小偷,Thief
談判,negotiation
托馬斯,Thomas
你將,You will
干得,Work hard
古怪,eccentric
il,IL
自信,confidence
聖誕節,Christmas
忠,Loyalty
資格,qualifications
